suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,contractor_costs/contractor_costs,false,8400.0,true,true,1,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,controversy_about_the_weekday/controversy_about_the_weekday,false,,true,false,246,cp-sat,10000,minizinc,linear,0,2,false
hakank,cookie_bake_off/cookie_bake_off,false,168.0,true,true,143,cp-sat,10000,minizinc,linear,0,3,false
hakank,cookie_monster_problem/cookie_monster_problem,false,4.0,true,true,164,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,copy_arrays/copy_arrays2,false,,true,false,199,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,correspondence/correspondence,false,,true,false,284,cp-sat,10000,minizinc,global,1,0,false
hakank,count_ctr/count_ctr,false,,true,false,150,cp-sat,10000,minizinc,global,5,1,false
hakank,countdown/countdown,false,,true,false,469,cp-sat,10000,minizinc,global,1,0,false
hakank,counts/counts,false,,true,false,155,cp-sat,10000,minizinc,linear,0,2,false
hakank,crew/crew,false,19.0,true,true,53,cp-sat,10000,minizinc,linear,0,6,false
hakank,crew_overlapping_flights/crew_overlapping_flights,false,6.0,true,true,51,cp-sat,10000,minizinc,global,1,4,false
hakank,critical_path/critical_path1,false,38.0,true,true,3,cp-sat,10000,minizinc,linear,0,1,false
hakank,crossbar/crossbar,false,,true,false,221,cp-sat,10000,minizinc,global,1,0,false
hakank,crossfigure/crossfigure,false,,true,false,208,cp-sat,10000,minizinc,linear,0,1,false
hakank,crossword/crossword,false,,true,false,137,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,crossword/crossword2,false,,true,false,335,cp-sat,10000,minizinc,global,1,0,false
hakank,crossword3/crossword3_50,false,,true,false,883,cp-sat,10000,minizinc,global,4,0,false
hakank,crossword3/crossword3_51,false,,true,false,6908,cp-sat,10000,minizinc,global,6,0,false
hakank,crossword_bratko/crossword_bratko,false,,true,false,245,cp-sat,10000,minizinc,global,5,0,false
hakank,crowd/crowd,false,51.0,true,true,2305,cp-sat,10000,minizinc,linear,0,17,false
hakank,crypt_reversed/crypt_reversed,false,,true,false,634,cp-sat,10000,minizinc,global,5,1,false
hakank,crypta/crypta,false,,true,false,510,cp-sat,10000,minizinc,global,1,0,false
hakank,crypto/crypto,false,,true,false,266,cp-sat,10000,minizinc,global,1,20,false
hakank,crypto_ip/crypto_ip,false,,true,false,641,cp-sat,10000,minizinc,linear,0,4,false
hakank,crystal_maze/crystal_maze,false,,true,false,270,cp-sat,10000,minizinc,global,1,0,false
hakank,cube_sum/cube_sum,false,3.0,true,true,316,cp-sat,10000,minizinc,global,1,2,false
hakank,cumulative_test/cumulative_test,false,11.0,true,true,5,cp-sat,10000,minizinc,global,10,0,false
hakank,cumulative_test_mats_carlsson/cumulative_test_mats_carlsson,false,,true,false,239,cp-sat,10000,minizinc,global,5,0,false
hakank,cur_num/cur_num,false,,true,false,157,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,curious_set_of_integers/curious_set_of_integers,false,,true,false,281,cp-sat,10000,minizinc,global,1,0,false
hakank,cutting_stock_winston/cutting_stock_winston,false,19.0,true,true,5,cp-sat,10000,minizinc,linear,0,2,false
hakank,cycle_test/cycle_test2,false,,true,false,433,cp-sat,10000,minizinc,global,5,1,false
hakank,cycle_test/cycle_test3,false,,true,false,489,cp-sat,10000,minizinc,global,5,2,false
hakank,debruijn/debruijn2d,false,,true,false,814,cp-sat,10000,minizinc,global,19,4,false
hakank,debruijn/debruijn2d_2,false,,true,false,516,cp-sat,10000,minizinc,global,11,3,false
hakank,debruijn_binary/debruijn_binary,false,,true,false,805,cp-sat,10000,minizinc,global,9,1,false
hakank,debruijn_no_repetition/debruijn_no_repetition,false,,true,false,803,cp-sat,10000,minizinc,global,8,1,false
hakank,decision_tree_binary/decision_tree_binary,false,,true,false,179,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,decreasing_me/decreasing_me,false,,true,false,151,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,defending_castle/defending_castle,true,10.0,true,true,1,cp-sat,10000,minizinc,global,1,0,false
hakank,dennys_menu/dennys_menu,false,,true,false,245,cp-sat,10000,minizinc,linear,0,1,false
hakank,derangement/derangement,false,,true,false,146,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,devils_word/devils_word,false,,true,false,310,cp-sat,10000,minizinc,linear,0,4,false
hakank,dice_with_a_difference_enigma/dice_with_a_difference_enigma_290,false,,true,false,287,cp-sat,10000,minizinc,linear,0,2,false
hakank,diet/diet1,false,90.0,true,true,172,cp-sat,10000,minizinc,linear,0,5,false
hakank,differs_from_at_least_k_pos/differs_from_at_least_k_pos,false,,true,false,179,cp-sat,10000,minizinc,linear,0,1,false
hakank,diffn_me/diffn_me,false,,true,false,468,cp-sat,10000,minizinc,global,5,1,false
hakank,digital_roots/digital_roots,false,,true,false,147,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,digits_of_the_square/digits_of_the_square,false,,true,false,5599,cp-sat,10000,minizinc,linear,0,1,false
hakank,dimes/dimes,false,,true,false,194,cp-sat,10000,minizinc,global,3,1,false
hakank,dinner/dinner,false,,true,false,141,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,discrepancy/discrepancy,false,,true,false,151,cp-sat,10000,minizinc,linear,0,1,false
hakank,disjunctive/disjunctive,false,,true,false,154,cp-sat,10000,minizinc,global,5,0,false
hakank,distance_between/distance_between,true,2.0,true,true,1,cp-sat,10000,minizinc,linear,0,1,false
hakank,distance_change/distance_change,false,,true,false,144,cp-sat,10000,minizinc,linear,0,1,false
hakank,dividing_the_spoils/dividing_the_spoils,false,,true,false,155,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,divisible_by/divisible_by_7,false,,true,false,296,cp-sat,10000,minizinc,global,4,1,false
hakank,divisible_by_1_to/divisible_by_1_to_9,false,,true,false,910,cp-sat,10000,minizinc,global,1,1,false
hakank,divisible_by_9_through/divisible_by_9_through_1,false,,true,false,900,cp-sat,10000,minizinc,global,1,1,false
hakank,divisible_by_unit_digits/divisible_by_unit_digits,false,,true,false,150,cp-sat,10000,minizinc,linear,0,1,false
hakank,divisors_ending_in_0_to/divisors_ending_in_0_to_9,false,,true,false,779,cp-sat,10000,minizinc,linear,0,1,false
hakank,domain/domain,false,,true,false,146,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,domain_constraint/domain_constraint,false,,true,false,147,cp-sat,10000,minizinc,linear,0,1,false
hakank,dominating_set/dominating_set,false,,true,false,121,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,domino/domino,false,,true,false,374,cp-sat,10000,minizinc,global,2,0,false
hakank,domino/domino2,false,,true,false,533,cp-sat,10000,minizinc,global,2,0,false
hakank,donald/donald,false,,true,false,460,cp-sat,10000,minizinc,global,1,0,false
hakank,donald/donald2,false,,true,false,504,cp-sat,10000,minizinc,global,1,0,false
hakank,dqueens/dqueens,false,57.0,true,true,57,cp-sat,10000,minizinc,linear,0,7,false
